arm,stt,citation_recall,citation_precision,citation_f1,citation_display_rate,bertscore_p,bertscore_r,bertscore_f1,latency_s,prolog_first_try_solution,repair_invoked,repair_success,pred_citation_parse_errors,record_path
graphrag_v5_m2,1,0.0,0.0,0.0,,0.672,0.5389,0.5981,3.201,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A1.json
graphrag_v5_m2,10,0.0,0.0,0.0,1.0,0.7764,0.6893,0.7303,4.71,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A10.json
graphrag_v5_m2,11,0.5,1.0,0.6667,1.0,0.6279,0.5131,0.5647,3.155,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A11.json
graphrag_v5_m2,12,0.0,0.0,0.0,1.0,0.6355,0.5327,0.5796,3.693,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A12.json
graphrag_v5_m2,13,0.3333,0.5,0.4,1.0,0.7197,0.6555,0.6861,4.068,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A13.json
graphrag_v5_m2,14,0.0,0.0,0.0,1.0,0.6456,0.5202,0.5761,2.962,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A14.json
graphrag_v5_m2,15,0.0,0.0,0.0,1.0,0.6405,0.5188,0.5733,2.286,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A15.json
graphrag_v5_m2,16,0.0,0.0,0.0,1.0,0.705,0.6088,0.6534,4.29,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A16.json
graphrag_v5_m2,17,0.0,0.0,0.0,1.0,0.6559,0.5569,0.6024,3.505,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A17.json
graphrag_v5_m2,18,0.125,0.2,0.1538,1.0,0.6325,0.5275,0.5753,9.468,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A18.json
graphrag_v5_m2,19,0.0,0.0,0.0,1.0,0.6399,0.5348,0.5826,3.179,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A19.json
graphrag_v5_m2,2,0.0,0.0,0.0,1.0,0.6602,0.6435,0.6517,11.344,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A2.json
graphrag_v5_m2,20,0.0,0.0,0.0,1.0,0.7161,0.666,0.6902,3.273,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A20.json
graphrag_v5_m2,21,1.0,0.5,0.6667,1.0,0.6885,0.7043,0.6963,3.878,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A21.json
graphrag_v5_m2,22,0.5,1.0,0.6667,1.0,0.6456,0.5508,0.5945,3.699,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A22.json
graphrag_v5_m2,23,0.0,0.0,0.0,1.0,0.7355,0.6816,0.7075,7.067,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A23.json
graphrag_v5_m2,24,0.0,0.0,0.0,,0.6776,0.5582,0.6121,0.456,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A24.json
graphrag_v5_m2,25,1.0,1.0,1.0,1.0,0.7047,0.6471,0.6747,3.848,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A25.json
graphrag_v5_m2,26,0.0,0.0,0.0,1.0,0.6631,0.5631,0.609,3.519,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A26.json
graphrag_v5_m2,27,1.0,1.0,1.0,1.0,0.8284,0.8011,0.8145,4.062,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A27.json
graphrag_v5_m2,28,0.0,0.0,0.0,1.0,0.7211,0.6708,0.695,3.986,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A28.json
graphrag_v5_m2,29,0.5,0.5,0.5,1.0,0.669,0.5843,0.6238,3.398,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A29.json
graphrag_v5_m2,3,0.0,0.0,0.0,1.0,0.6936,0.6542,0.6733,4.75,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A3.json
graphrag_v5_m2,30,0.0,0.0,0.0,1.0,0.6365,0.5791,0.6064,4.364,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A30.json
graphrag_v5_m2,4,0.0,0.0,0.0,1.0,0.7018,0.6859,0.6938,5.305,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A4.json
graphrag_v5_m2,5,0.0,0.0,0.0,1.0,0.6436,0.5454,0.5904,3.675,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A5.json
graphrag_v5_m2,6,0.0,0.0,0.0,1.0,0.6552,0.5786,0.6145,2.693,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A6.json
graphrag_v5_m2,7,1.0,0.3333,0.5,1.0,0.6556,0.5582,0.603,2.87,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A7.json
graphrag_v5_m2,8,0.0,0.0,0.0,1.0,0.6451,0.5315,0.5828,3.387,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A8.json
graphrag_v5_m2,9,0.75,0.3,0.4286,1.0,0.5982,0.5486,0.5723,5.652,,,,,E:\legal-graph-kb\experiments\04_v5_sprint2_m2\results\graphrag_v5_m2\A9.json
graphrag_v5,1,0.0,0.0,0.0,,0.672,0.5389,0.5981,7.208,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A1.json
graphrag_v5,10,1.0,0.5,0.6667,1.0,0.7643,0.7222,0.7427,39.732,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A10.json
graphrag_v5,11,0.5,1.0,0.6667,1.0,0.6326,0.5131,0.5666,18.997,,,,,E:\legal-graph-kb\experiments\03_v5_sprint1_vanilla\results\graphrag_v5\A11.json
