arm,stt,category,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,n_retrieved@10,recall@10,precision@10,f1@10,n_retrieved@12,recall@12,precision@12,f1@12,n_retrieved@20,recall@20,precision@20,f1@20,n_retrieved@30,recall@30,precision@30,f1@30,n_retrieved@all,recall@all,precision@all,f1@all,r_precision,mrr,ndcg@10,ndcg@all,elapsed_s
dense,1,ooc,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,18,0.0,0.0,0.0,18,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.819
dense,10,unparseable,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,1.0,0.08333333333333333,0.15384615384615385,20,1.0,0.05,0.09523809523809523,30,1.0,0.03333333333333333,0.06451612903225806,31,1.0,0.03225806451612903,0.0625,0.0,0.08333333333333333,0.0,0.27023815442731974,0.147
dense,100,in_corpus,3,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099
dense,101,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151
dense,102,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,29,1.0,0.034482758620689655,0.06666666666666667,29,1.0,0.034482758620689655,0.06666666666666667,0.0,0.06666666666666667,0.0,0.25,0.064
dense,103,in_corpus,5,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
dense,104,in_corpus,1,5,1.0,0.2,0.33333333333333337,10,1.0,0.1,0.18181818181818182,12,1.0,0.08333333333333333,0.15384615384615385,20,1.0,0.05,0.09523809523809523,29,1.0,0.034482758620689655,0.06666666666666667,29,1.0,0.034482758620689655,0.06666666666666667,0.0,0.3333333333333333,0.5,0.5,0.253
dense,105,unparseable,2,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052
dense,106,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,30,1.0,0.03333333333333333,0.06451612903225806,36,1.0,0.027777777777777776,0.05405405405405406,0.0,0.037037037037037035,0.0,0.20801459767650948,0.06
dense,107,in_corpus,1,5,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,20,0.0,0.0,0.0,29,1.0,0.034482758620689655,0.06666666666666667,29,1.0,0.034482758620689655,0.06666666666666667,0.0,0.045454545454545456,0.0,0.22106472945750374,0.059
