arm,stt,stratum,n_gold,n_retrieved@5,recall@5,precision@5,f1@5,ndcg@5,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_vanilla,1,no_l41,2,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,2.665
dense_vanilla,100,l41_only,3,5,0.0,0.0,0.0,0.0,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.14126697285982898,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.14126697285982898,11,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.14126697285982898,0.0,0.1111111111111111,0.254
dense_vanilla,103,mixed_l41_other,5,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.239
dense_vanilla,106,l41_only,1,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.202
dense_vanilla,108,no_l41,4,5,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.251
dense_vanilla,109,mixed_l41_other,2,5,0.5,0.2,0.28571428571428575,0.38685280723454163,9,1.0,0.2222222222222222,0.3636363636363636,0.6052602440527057,9,1.0,0.2222222222222222,0.3636363636363636,0.6052602440527057,9,1.0,0.2222222222222222,0.3636363636363636,0.6052602440527057,0.5,0.5,0.086
dense_vanilla,110,mixed_l41_other,3,5,0.3333333333333333,0.2,0.25,0.20210734650054757,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.20210734650054757,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.20210734650054757,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.20210734650054757,0.0,0.25,0.222
dense_vanilla,112,l41_only,1,5,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.223
dense_vanilla,115,l41_only,1,5,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.206
dense_vanilla,124,no_l41,1,5,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.222
